"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","G06A...População.urbana.residente.do.s..município.s..com.abastecimento.de.água..Habitantes.","G06B...População.urbana.residente.do.s..município.s..com.esgotamento.sanitário..Habitantes.","G12A...População.total.residente.do.s..município.s..com.abastecimento.de.água..segundo.o.IBGE..Habitantes.","G12B...População.total.residente.do.s..município.s..com.esgotamento.sanitário..segundo.o.IBGE..Habitantes.","GE008...Quantidade.de.Sedes.municipais.atendidas.com.abastecimento.de.água..Sedes.","GE009...Quantidade.de.Sedes.municipais.atendidas.com.esgotamento.sanitário..Sedes.","GE010...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.abastecimento.de.água..Localidades.","GE011...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.esgotamento.sanitário..Localidades.","POP_TOT...População.total.do.município.do.ano.de.referência..Fonte..IBGE....Habitantes.","POP_URB...População.urbana.do.município.do.ano.de.referência..Fonte..IBGE....Habitantes."
"220027","Alegrete do Piauí","PI","2008","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","2582",,"4610",,,,"11",,"4610","2582"
"220027","Alegrete do Piauí","PI","2015","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","2660",,"4832",,"1",,"2",,"4832","2660"
"220027","Alegrete do Piauí","PI","2012","","",,,,,,,,,"5173","2848"
"220027","Alegrete do Piauí","PI","2005","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","2741",,"4853",,,,"8",,"4853","2741"
"220027","Alegrete do Piauí","PI","1997","","",,,,,,,,,"4380","2285"
"220027","Alegrete do Piauí","PI","2001","","",,,,,,,,,"4736","2675"
"220027","Alegrete do Piauí","PI","2004","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","2726",,"4827",,,,"8",,"4827","2726"
"220027","Alegrete do Piauí","PI","1998","","",,,,,,,,,"4370","2280"
"220027","Alegrete do Piauí","PI","2010","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","2837",,"5153",,"1",,"11",,"5153","2837"
"220027","Alegrete do Piauí","PI","1995","","",,,,,,,,,"4806","2507"
"220027","Alegrete do Piauí","PI","2000","","",,,,,,,,,"4713","2662"
"220027","Alegrete do Piauí","PI","2006","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","2755",,"4878",,,,"10",,"4878","2755"
"220027","Alegrete do Piauí","PI","1996","","",,,,,,,,,"4393","2292"
