MUNICIPIO,GEOCODIGO,UF,MICROREGIAO,MESOREGIAO,NOME_UF,Município (ANA),COD_ANA,RESERVATORIO,TIPO DE MANANCIAL,TIPO DE SISTEMA,NOME DO SISTEMA
GIRAU DO PONCIANO,2702900,AL,ARAPIRACA,AGRESTE ALAGOANO,ALAGOAS,Girau do Ponciano,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Agreste
IGACI,2703106,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Igaci,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Agreste
INHAPI,2703304,AL,SERRANA DO SERTÃO ALAGOANO,SERTÃO ALAGOANO,ALAGOAS,Inhapi,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Alto do Sertão
JACARÉ DOS HOMENS,2703403,AL,BATALHA,SERTÃO ALAGOANO,ALAGOAS,Jacaré dos Homens,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
JARAMATAIA,2703700,AL,BATALHA,SERTÃO ALAGOANO,ALAGOAS,Jaramataia,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
LAGOA DA CANOA,2704104,AL,ARAPIRACA,AGRESTE ALAGOANO,ALAGOAS,Lagoa da Canoa,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Agreste
MAJOR ISIDORO,2704401,AL,BATALHA,SERTÃO ALAGOANO,ALAGOAS,Major Isidoro,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
MARAVILHA,2704609,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,Maravilha,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
MATA GRANDE,2705002,AL,SERRANA DO SERTÃO ALAGOANO,SERTÃO ALAGOANO,ALAGOAS,Mata Grande,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Alto do Sertão
MINADOR DO NEGRÃO,2705309,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Minador do Negrão,Não_monitorado,Açude Carangueja,Superficial,Integrado,Integrado Carangueija
MINADOR DO NEGRÃO,2705309,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Minador do Negrão,Não_monitorado,Barragem Caçambas,Superficial,Integrado,Integrado Carangueija
MINADOR DO NEGRÃO,2705309,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Minador do Negrão,Não_monitorado,Barragem Limeira,Superficial,Integrado,Integrado Carangueija
MONTEIRÓPOLIS,2705408,AL,BATALHA,SERTÃO ALAGOANO,ALAGOAS,Monteirópolis,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
OLHO D'ÁGUA DAS FLORES,2705705,AL,BATALHA,SERTÃO ALAGOANO,ALAGOAS,Olho d'Água das Flores,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
OLHO D'ÁGUA DO CASADO,2705804,AL,ALAGOANA DO SERTÃO DO SÃO FRANCISCO,SERTÃO ALAGOANO,ALAGOAS,Olho d'Água do Casado,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Alto do Sertão
OLHO D'ÁGUA DO CASADO,2705804,AL,ALAGOANA DO SERTÃO DO SÃO FRANCISCO,SERTÃO ALAGOANO,ALAGOAS,Olho d'Água do Casado,Não_monitorado,Rio São Francisco,Superficial,Isolado,Isolado Olho D'Água do Casado
OLIVENÇA,2706000,AL,BATALHA,SERTÃO ALAGOANO,ALAGOAS,Olivença,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
OURO BRANCO,2706109,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,Ouro Branco,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
PALESTINA,2706208,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,Palestina,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
PALMEIRA DOS ÍNDIOS,2706307,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Palmeira dos Índios,Não_monitorado,Açude Carangueja,Superficial,Integrado,Integrado Carangueija
PALMEIRA DOS ÍNDIOS,2706307,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Palmeira dos Índios,Não_monitorado,Barragem Caçambas,Superficial,Integrado,Integrado Carangueija
PALMEIRA DOS ÍNDIOS,2706307,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Palmeira dos Índios,Não_monitorado,Barragem Limeira,Superficial,Integrado,Integrado Carangueija
PÃO DE AÇÚCAR,2706406,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,Pão de Açúcar,Não_monitorado,Rio São Francisco,Superficial,Isolado,Pão de Açúcar
PARICONHA,2706422,AL,SERRANA DO SERTÃO ALAGOANO,SERTÃO ALAGOANO,ALAGOAS,Pariconha,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Alto do Sertão
PIRANHAS,2707107,AL,ALAGOANA DO SERTÃO DO SÃO FRANCISCO,SERTÃO ALAGOANO,ALAGOAS,Piranhas,Não_monitorado,Barragem do Xingó,Superficial,Isolado,Piranhas
POÇO DAS TRINCHEIRAS,2707206,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,Poço das Trincheiras,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
QUEBRANGULO,2707602,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Quebrangulo,Não_monitorado,Açude Carangueja,Superficial,Isolado,Quebrangulo
SANTANA DO IPANEMA,2708006,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,Santana do Ipanema,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
SÃO JOSÉ DA TAPERA,2708402,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,São José da Tapera,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
SENADOR RUI PALMEIRA,2708956,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,Senador Rui Palmeira,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
TRAIPU,2709202,AL,TRAIPU,AGRESTE ALAGOANO,ALAGOAS,Traipu,Não_monitorado,Rio São Francisco,Superficial,Isolado,Traipu
ABAÍRA,2900108,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Abaíra,Não_monitorado,Nascente Brejo da Fama,Subterrâneo,Isolado,Isolado Abaíra
ABARÉ,2900207,BA,PAULO AFONSO,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Abaré,Não_monitorado,Rio São Francisco,Superficial,Isolado,Isolado Abaré
ADUSTINA,2900355,BA,RIBEIRA DO POMBAL,NORDESTE BAIANO,BAHIA,Adustina,Não_monitorado,Poços de Fátima e Paripiranga,Subterrâneo,Integrado,Integrado Fátima
ÁGUA FRIA,2900405,BA,FEIRA DE SANTANA,CENTRO NORTE BAIANO,BAHIA,Água Fria,Não_monitorado,Poços Água Fria,Subterrâneo,Isolado,Isolado Água Fria
AMARGOSA,2901007,BA,JEQUIÉ,CENTRO SUL BAIANO,BAHIA,Amargosa,Não_monitorado,Riacho Riachão,Superficial,Isolado,Isolado Amargosa 1
AMARGOSA,2901007,BA,JEQUIÉ,CENTRO SUL BAIANO,BAHIA,Amargosa,Não_monitorado,Rio Timbó - BA,Superficial,Isolado,Isolado Amargosa 2
AMÉRICA DOURADA,2901155,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,América Dourada,12279,Barragem de Mirorós (Rio Verde),Superficial,Integrado,Integrado Adutora do Feijão
ANAGÉ,2901205,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Anagé,Não_monitorado,Rio Gavião (barragem de acumulação),Superficial,Isolado,Isolado Anagé
ANDARAÍ,2901304,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Andaraí,Não_monitorado,Rio Paraguaçu,Superficial,Isolado,Isolado Andaraí
ANDORINHA,2901353,BA,SENHOR DO BONFIM,CENTRO NORTE BAIANO,BAHIA,Andorinha,12022,Açude Andorinha II (Riacho Olho d'Água),Superficial,Isolado,Isolado Andorinha
ANGUERA,2901502,BA,FEIRA DE SANTANA,CENTRO NORTE BAIANO,BAHIA,Anguera,795,Barragem Pedra do Cavalo,Superficial,Integrado,Integrado Santo Estevão
ANTAS,2901601,BA,RIBEIRA DO POMBAL,NORDESTE BAIANO,BAHIA,Antas,Não_monitorado,2 Poços Antas,Subterrâneo,Isolado,Isolado Antas
ANTÔNIO CARDOSO,2901700,BA,FEIRA DE SANTANA,CENTRO NORTE BAIANO,BAHIA,Antônio Cardoso,795,Barragem Pedra do Cavalo,Superficial,Isolado,Isolado Antônio Cardoso
ANTÔNIO GONÇALVES,2901809,BA,SENHOR DO BONFIM,CENTRO NORTE BAIANO,BAHIA,Antônio Gonçalves,12009,Barragem do Aipim,Superficial,Integrado,Integrado Senhor do Bonfim - Antônio Gonçalves
ARACATU,2902005,BA,BRUMADO,CENTRO SUL BAIANO,BAHIA,Aracatu,Não_monitorado,Riacho Jardim,Superficial,Isolado,Isolado Aracatu
ARACI,2902104,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Araci,Não_monitorado,Poços de Araci,Subterrâneo,Isolado,Isolado Araci
BAIXA GRANDE,2902609,BA,ITABERABA,CENTRO NORTE BAIANO,BAHIA,Baixa Grande,Não_monitorado,Rio Paraguaçu,Superficial,Integrado,Integrado Itaberaba
BAIXA GRANDE,2902609,BA,ITABERABA,CENTRO NORTE BAIANO,BAHIA,Baixa Grande,Não_monitorado,Poço Baixa Grande,Subterrâneo,Isolado,Isolado Baixa Grande
BANZAĘ,2902658,BA,RIBEIRA DO POMBAL,NORDESTE BAIANO,BAHIA,Banzaê,Não_monitorado,Poços de Banzaê,Subterrâneo,Isolado,Isolado Banzaê
BARRA,2902708,BA,BARRA,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Barra,Não_monitorado,Rio Grande,Superficial,Isolado,Isolado Barra
BARRA DA ESTIVA,2902807,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Barra da Estiva,Não_monitorado,Rio Paraguaçu,Superficial,Isolado,Isolado Barra da Estiva
BARRA DO CHOÇA,2902906,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Barra do Choça,12008,Barragem Água Fria II,Superficial,Isolado,Isolado Barra do Choça
BARRA DO CHOÇA,2902906,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Barra do Choça,Não_monitorado,Barragem Riacho Serra Preta,Superficial,Isolado,Isolado Barra do Choça
BARRA DO CHOÇA,2902906,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Barra do Choça,Não_monitorado,Fonte da Biquinha,Subterrâneo,Isolado,Isolado Barra do Choça
BARRA DO MENDES,2903003,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,Barra do Mendes,12279,Barragem de Mirorós (Rio Verde),Superficial,Integrado,Integrado Adutora do Feijão
BARRO ALTO,2903235,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,Barro Alto,12279,Barragem de Mirorós (Rio Verde),Superficial,Integrado,Integrado Adutora do Feijão
BARROCAS,2903276,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Barrocas,Não_monitorado,Poços de Biritinga,Subterrâneo,Integrado,Integrado Serrinha - Conceição do Coité
BELO CAMPO,2903508,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Belo Campo,Não_monitorado,Poços de Belo Campo,Subterrâneo,Isolado,Isolado Belo Campo
BIRITINGA,2903607,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Biritinga,Não_monitorado,Poços de Biritinga,Subterrâneo,Integrado,Integrado Serrinha - Conceição do Coité
BOA NOVA,2903706,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Boa Nova,Não_monitorado,Córrego do Inglês,Superficial,Isolado,Isolado Boa Nova
BOA NOVA,2903706,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Boa Nova,Não_monitorado,Córrego Santa Luzia,Superficial,Isolado,Isolado Boa Nova
BOA VISTA DO TUPIM,2903805,BA,ITABERABA,CENTRO NORTE BAIANO,BAHIA,Boa Vista do Tupim,Não_monitorado,Rio Paraguaçu,Superficial,Isolado,Isolado Boa Vista do Tupim
BOM JESUS DA LAPA,2903904,BA,BOM JESUS DA LAPA,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Bom Jesus da Lapa,Não_monitorado,Rio São Francisco,Superficial,Isolado,Isolado Bom Jesus da Lapa
BOM JESUS DA SERRA,2903953,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Bom Jesus da Serra,12284,Açude Morrinhos - Rio das Mulheres,Superficial,Integrado,Integrado Poções
BONINAL,2904001,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Boninal,Não_monitorado,Poços de Boninal,Subterrâneo,Isolado,Isolado Boninal
BONITO,2904050,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Bonito,Não_monitorado,Riacho Ingazeira,Superficial,Isolado,Isolado Bonito - BA
BONITO,2904050,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Bonito,Não_monitorado,Riacho dos Patis,Superficial,Isolado,Isolado Bonito - BA
BOQUIRA,2904100,BA,BOQUIRA,CENTRO SUL BAIANO,BAHIA,Boquira,Não_monitorado,3 Poços de Boquira,Subterrâneo,Isolado,Isolado Boquira 1
BOQUIRA,2904100,BA,BOQUIRA,CENTRO SUL BAIANO,BAHIA,Boquira,Não_monitorado,Nascente da Mata,Subterrâneo,Isolado,Isolado Boquira 1
BOQUIRA,2904100,BA,BOQUIRA,CENTRO SUL BAIANO,BAHIA,Boquira,Não_monitorado,"Barragem de acumulação(Nascentes do Bonito, Boqueirão e Brejo Grande)",Superficial,Isolado,Isolado Boquira 2
BOTUPORÃ,2904209,BA,BOQUIRA,CENTRO SUL BAIANO,BAHIA,Botuporã,12491,Açude Zabumbão,Superficial,Integrado,Integrado Paramirim
BREJŐES,2904308,BA,JEQUIÉ,CENTRO SUL BAIANO,BAHIA,Brejões,Não_monitorado,Rio do Meio,Superficial,Isolado,Isolado Brejões
BREJOLÂNDIA,2904407,BA,COTEGIPE,EXTREMO OESTE BAIANO,BAHIA,Brejolândia,Não_monitorado,Rio Corrente - BA,Superficial,Integrado,Integrado Santana
BREJOLÂNDIA,2904407,BA,COTEGIPE,EXTREMO OESTE BAIANO,BAHIA,Brejolândia,Não_monitorado,Poços de Brejolândia,Subterrâneo,Isolado,Isolado Brejolândia
BROTAS DE MACAÚBAS,2904506,BA,BOQUIRA,CENTRO SUL BAIANO,BAHIA,Brotas de Macaúbas,Não_monitorado,Barragem de nível no Riacho Pau Louro,Superficial,Isolado,Isolado Brotas de Macaúbas
BROTAS DE MACAÚBAS,2904506,BA,BOQUIRA,CENTRO SUL BAIANO,BAHIA,Brotas de Macaúbas,Não_monitorado,Poços de Brotas de Macaúbas,Subterrâneo,Isolado,Isolado Brotas de Macaúbas
BRUMADO,2904605,BA,BRUMADO,CENTRO SUL BAIANO,BAHIA,Brumado,Não_monitorado,Barragem Rio do Antônio,Superficial,Isolado,Isolado Brumado
BRUMADO,2904605,BA,BRUMADO,CENTRO SUL BAIANO,BAHIA,Brumado,Não_monitorado,Barragem Rio das Contas (Cristalândia),Superficial,Isolado,Isolado Brumado
BURITIRAMA,2904753,BA,BARRA,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Buritirama,Não_monitorado,1 Poço de Buritirama,Subterrâneo,Isolado,Isolado Buritirama 1
BURITIRAMA,2904753,BA,BARRA,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Buritirama,Não_monitorado,Barragem Rio Brejão,Superficial,Isolado,Isolado Buritirama 1
BURITIRAMA,2904753,BA,BARRA,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Buritirama,Não_monitorado,Rio Grande,Superficial,Isolado,Isolado Buritirama 2
CAATIBA,2904803,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Caatiba,Não_monitorado,Rio Riachão - BA,Superficial,Isolado,Isolado Caatiba
CABACEIRAS DO PARAGUAÇU,2904852,BA,SANTO ANTÔNIO DE JESUS,METROPOLITANA DE SALVADOR,BAHIA,Cabaceiras do Paraguaçu,795,Barragem Pedra do Cavalo,Superficial,Isolado,Isolado Cabaceiras do Paraguaçu
CACULÉ,2905008,BA,GUANAMBI,CENTRO SUL BAIANO,BAHIA,Caculé,Não_monitorado,Açude Comocoxico - Rio do Paiol,Superficial,Isolado,Isolado Caculé
CAÉM,2905107,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Caém,Não_monitorado,Rio Caém,Superficial,Isolado,Isolado Caém
CAETANOS,2905156,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Caetanos,Não_monitorado,Barragem Barreirinho,Superficial,Isolado,Isolado Caetanos
CAETITÉ,2905206,BA,GUANAMBI,CENTRO SUL BAIANO,BAHIA,Caetité,Não_monitorado,Rio Moita dos Porcos,Superficial,Isolado,Isolado Caetité
CAETITÉ,2905206,BA,GUANAMBI,CENTRO SUL BAIANO,BAHIA,Caetité,Não_monitorado,Rio Santarem,Superficial,Isolado,Isolado Caetité
CAETITÉ,2905206,BA,GUANAMBI,CENTRO SUL BAIANO,BAHIA,Caetité,Não_monitorado,Riacho Passagem das Pedras,Superficial,Isolado,Isolado Caetité
CAETITÉ,2905206,BA,GUANAMBI,CENTRO SUL BAIANO,BAHIA,Caetité,Não_monitorado,5 poços Caetité,Subterrâneo,Isolado,Isolado Caetité
CAFARNAUM,2905305,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,Cafarnaum,Não_monitorado,Rio Veredas,Superficial,Isolado,Isolado Cafarnaum
CAFARNAUM,2905305,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,Cafarnaum,Não_monitorado,Poço de Cafarnaum,Subterrâneo,Isolado,Isolado Cafarnaum
CALDEIRÃO GRANDE,2905503,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Caldeirão Grande,12354,Barragem de Ponto Novo (Rio Itapicuru-açu),Superficial,Integrado,Integrado Ponto Novo
CAMPO ALEGRE DE LOURDES,2905909,BA,JUAZEIRO,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Campo Alegre de Lourdes,Não_monitorado,Poços,Subterrâneo,Isolado,Isolado Campo Alegre de Lourdes
CAMPO FORMOSO,2906006,BA,SENHOR DO BONFIM,CENTRO NORTE BAIANO,BAHIA,Campo Formoso,12009,Barragem do Aipim,Superficial,Integrado,Integrado Senhor do Bonfim - Campo Formoso
CAMPO FORMOSO,2906006,BA,SENHOR DO BONFIM,CENTRO NORTE BAIANO,BAHIA,Campo Formoso,Não_monitorado,Rios Campo Formoso I e II,Superficial,Integrado,Integrado Senhor do Bonfim - Campo Formoso
CANARANA,2906204,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,Canarana,12279,Barragem de Mirorós (Rio Verde),Superficial,Integrado,Integrado Adutora do Feijão
CANDEAL,2906402,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Candeal,12411,Barragem São José Jacuípe (Rio Jacuípe),Superficial,Integrado,Integrado Adutora do Sisal
CANDIBA,2906600,BA,GUANAMBI,CENTRO SUL BAIANO,BAHIA,Candiba,12119,Barragem Ceraima,Superficial,Integrado,Integrado Guanambi
CÂNDIDO SALES,2906709,BA,VITÓRIA DA CONQUISTA,CENTRO SUL BAIANO,BAHIA,Cândido Sales,Não_monitorado,Rio Pardo - BA,Superficial,Isolado,Isolado Cândido Sales
CANSANÇÃO,2906808,BA,EUCLIDES DA CUNHA,NORDESTE BAIANO,BAHIA,Cansanção,Não_monitorado,Poços de Tucano,Subterrâneo,Integrado,Integrado Tucano I
CANUDOS,2906824,BA,EUCLIDES DA CUNHA,NORDESTE BAIANO,BAHIA,Canudos,12129,Barragem de Cocorobó,Superficial,Isolado,Isolado Canudos
CAPELA DO ALTO ALEGRE,2906857,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Capela do Alto Alegre,12411,Barragem São José Jacuípe (Rio Jacuípe),Superficial,Integrado,Integrado Adutora do Sisal
CAPIM GROSSO,2906873,BA,JACOBINA,CENTRO NORTE BAIANO,BAHIA,Capim Grosso,12411,Barragem São José Jacuípe (Rio Jacuípe),Superficial,Integrado,Integrado Adutora do Sisal
CARAÍBAS,2906899,BA,BRUMADO,CENTRO SUL BAIANO,BAHIA,Caraíbas,Não_monitorado,Barragem Rio Gavião,Superficial,Isolado,Isolado Caraíbas
CARINHANHA,2907103,BA,BOM JESUS DA LAPA,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Carinhanha,Não_monitorado,Rio São Francisco,Superficial,Isolado,Isolado Carinhanha
CASA NOVA,2907202,BA,JUAZEIRO,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Casa Nova,Não_monitorado,Lago Sobradinho,Superficial,Isolado,Isolado Casa Nova
CASTRO ALVES,2907301,BA,SANTO ANTÔNIO DE JESUS,METROPOLITANA DE SALVADOR,BAHIA,Castro Alves,Não_monitorado,Rio Paraguaçu,Superficial,Integrado,Integrado Milagres
CATURAMA,2907558,BA,BOQUIRA,CENTRO SUL BAIANO,BAHIA,Caturama,12491,Açude Zabumbão,Superficial,Integrado,Integrado Paramirim
CENTRAL,2907608,BA,IRECĘ,CENTRO NORTE BAIANO,BAHIA,Central,12279,Barragem de Mirorós (Rio Verde),Superficial,Integrado,Integrado Adutora do Feijão
CHORROCHÓ,2907707,BA,PAULO AFONSO,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Chorrochó,Não_monitorado,Barragem de Itaparica - Rio São Francisco,Superficial,Isolado,Isolado Chorrochó
CÍCERO DANTAS,2907806,BA,RIBEIRA DO POMBAL,NORDESTE BAIANO,BAHIA,Cícero Dantas,Não_monitorado,Poços de Cícero Dantas,Subterrâneo,Isolado,Isolado Cícero Dantas
CIPÓ,2907905,BA,RIBEIRA DO POMBAL,NORDESTE BAIANO,BAHIA,Cipó,Não_monitorado,Poços de Cipó,Subterrâneo,Isolado,Isolado Cipó
COCOS,2908101,BA,SANTA MARIA DA VITÓRIA,EXTREMO OESTE BAIANO,BAHIA,Cocos,Não_monitorado,Rio Itaguari,Superficial,Isolado,Isolado Cocos
CONCEIÇÃO DO COITÉ,2908408,BA,SERRINHA,NORDESTE BAIANO,BAHIA,Conceição do Coité,Não_monitorado,Poços de Biritinga,Subterrâneo,Integrado,Integrado Serrinha - Conceição do Coité
CONDEÚBA,2908705,BA,BRUMADO,CENTRO SUL BAIANO,BAHIA,Condeúba,12121,Açude Champrão (Rio Condeuba),Superficial,Integrado,Integrado Condeúba
CONTENDAS DO SINCORÁ,2908804,BA,SEABRA,CENTRO SUL BAIANO,BAHIA,Contendas do Sincorá,Não_monitorado,Rio Sincorá,Superficial,Isolado,Isolado Contendas do Sincorá
CORDEIROS,2909000,BA,BRUMADO,CENTRO SUL BAIANO,BAHIA,Cordeiros,12121,Açude Champrão (Rio Condeuba),Superficial,Integrado,Integrado Condeúba
CORIBE,2909109,BA,SANTA MARIA DA VITÓRIA,EXTREMO OESTE BAIANO,BAHIA,Coribe,Não_monitorado,Rio Alegre - BA,Superficial,Isolado,Isolado Coribe
CORONEL JOÃO SÁ,2909208,BA,JEREMOABO,NORDESTE BAIANO,BAHIA,Coronel João Sá,Não_monitorado,Poços de Coronel João Sá,Subterrâneo,Isolado,Isolado Coronel João Sá
CRAVOLÂNDIA,2909505,BA,JEQUIÉ,CENTRO SUL BAIANO,BAHIA,Cravolândia,Não_monitorado,Rio das Almas - BA,Superficial,Integrado,Integrado Santa Inês
CURAÇÁ,2909901,BA,JUAZEIRO,VALE SÃO-FRANCISCANO DA BAHIA,BAHIA,Curaçá,Não_monitorado,Rio São Francisco,Superficial,Isolado,Isolado Curaçá
DOM BASÍLIO,2910107,BA,LIVRAMENTO DO BRUMADO,CENTRO SUL BAIANO,BAHIA,Dom Basílio,Não_monitorado,Barragem Pastinho,Superficial,Isolado,Isolado Dom Basílio
