MUNICIPIO,GEOCODIGO,UF,MICROREGIAO,MESOREGIAO,NOME_UF,Município (ANA),COD_ANA,RESERVATORIO,TIPO DE MANANCIAL,TIPO DE SISTEMA,NOME DO SISTEMA
ÁGUA BRANCA,2700102,AL,SERRANA DO SERTÃO ALAGOANO,SERTÃO ALAGOANO,ALAGOAS,Água Branca,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Alto do Sertão
ARAPIRACA,2700300,AL,ARAPIRACA,AGRESTE ALAGOANO,ALAGOAS,Arapiraca,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Agreste
BATALHA,2700706,AL,BATALHA,SERTÃO ALAGOANO,ALAGOAS,Batalha,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
BELO MONTE,2700904,AL,BATALHA,SERTÃO ALAGOANO,ALAGOAS,Belo Monte,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
CACIMBINHAS,2701209,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Cacimbinhas,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
CANAPI,2701605,AL,SERRANA DO SERTÃO ALAGOANO,SERTÃO ALAGOANO,ALAGOAS,Canapi,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Alto do Sertão
CARNEIROS,2701803,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,Carneiros,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
COITÉ DO NÓIA,2702009,AL,ARAPIRACA,AGRESTE ALAGOANO,ALAGOAS,Coité do Nóia,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Agreste
CRAÍBAS,2702355,AL,ARAPIRACA,AGRESTE ALAGOANO,ALAGOAS,Craíbas,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Agreste
DELMIRO GOUVEIA,2702405,AL,ALAGOANA DO SERTÃO DO SÃO FRANCISCO,SERTÃO ALAGOANO,ALAGOAS,Delmiro Gouveia,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Alto do Sertão
DOIS RIACHOS,2702504,AL,SANTANA DO IPANEMA,SERTÃO ALAGOANO,ALAGOAS,Dois Riachos,Não_monitorado,Rio São Francisco,Superficial,Integrado,Integrado Bacia Leiteira
ESTRELA DE ALAGOAS,2702553,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Estrela de Alagoas,Não_monitorado,Barragem Limeira,Superficial,Integrado,Integrado Carangueija
ESTRELA DE ALAGOAS,2702553,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Estrela de Alagoas,Não_monitorado,Açude Carangueja,Superficial,Integrado,Integrado Carangueija
ESTRELA DE ALAGOAS,2702553,AL,PALMEIRA DOS ÍNDIOS,AGRESTE ALAGOANO,ALAGOAS,Estrela de Alagoas,Não_monitorado,Barragem Caçambas,Superficial,Integrado,Integrado Carangueija
