Fonte,Volume,VolumePercentual,Data,Ano,Mes,id
ANA,11.71,7.4,2012-09-10,2012.0,9.0,12279.0
ANA,10.94,6.9,2012-10-31,2012.0,10.0,12279.0
ANA,11.20,7.1,2012-11-30,2012.0,11.0,12279.0
ANA,10.78,6.8,2012-12-31,2012.0,12.0,12279.0
ANA,10.92,6.9,2013-01-31,2013.0,1.0,12279.0
ANA,10.43,6.6,2013-02-28,2013.0,2.0,12279.0
ANA,10.17,6.4,2013-03-31,2013.0,3.0,12279.0
ANA,9.98,6.3,2013-04-30,2013.0,4.0,12279.0
ANA,9.98,6.3,2013-05-31,2013.0,5.0,12279.0
ANA,9.97,6.3,2013-06-30,2013.0,6.0,12279.0
ANA,9.88,6.2,2013-07-31,2013.0,7.0,12279.0
ANA,9.73,6.2,2013-08-31,2013.0,8.0,12279.0
ANA,9.59,6.1,2013-09-30,2013.0,9.0,12279.0
ANA,9.46,6.0,2013-10-31,2013.0,10.0,12279.0
ANA,9.64,6.1,2013-11-30,2013.0,11.0,12279.0
ANA,19.47,12.3,2013-12-31,2013.0,12.0,12279.0
ANA,20.55,13.0,2014-01-31,2014.0,1.0,12279.0
ANA,19.99,12.6,2014-02-28,2014.0,2.0,12279.0
ANA,19.56,12.4,2014-03-31,2014.0,3.0,12279.0
ANA,19.23,12.2,2014-04-30,2014.0,4.0,12279.0
ANA,18.61,11.8,2014-05-31,2014.0,5.0,12279.0
ANA,17.75,11.2,2014-06-30,2014.0,6.0,12279.0
ANA,16.87,10.7,2014-07-31,2014.0,7.0,12279.0
ANA,16.08,10.2,2014-08-31,2014.0,8.0,12279.0
ANA,15.28,9.7,2014-09-30,2014.0,9.0,12279.0
ANA,14.34,9.1,2014-10-31,2014.0,10.0,12279.0
ANA,15.79,10.0,2014-11-30,2014.0,11.0,12279.0
ANA,19.66,12.4,2014-12-31,2014.0,12.0,12279.0
ANA,18.91,12.0,2015-01-31,2015.0,1.0,12279.0
ANA,18.91,12.0,2015-02-28,2015.0,2.0,12279.0
ANA,18.52,11.7,2015-03-31,2015.0,3.0,12279.0
ANA,18.63,11.8,2015-04-30,2015.0,4.0,12279.0
ANA,19.28,12.2,2015-05-31,2015.0,5.0,12279.0
ANA,18.47,11.7,2015-06-30,2015.0,6.0,12279.0
ANA,18.02,11.4,2015-07-17,2015.0,7.0,12279.0
ANA,16.68,10.6,2015-08-31,2015.0,8.0,12279.0
ANA,15.51,9.8,2015-09-30,2015.0,9.0,12279.0
ANA,14.16,9.0,2015-10-31,2015.0,10.0,12279.0
ANA,13.30,8.4,2015-11-30,2015.0,11.0,12279.0
ANA,12.39,7.8,2015-12-31,2015.0,12.0,12279.0
ANA,41.28,26.1,2016-01-31,2016.0,1.0,12279.0
