id,Data,Volume,VolumePercentual,sofrendo,sequencia
795.0,2014-11-23,3095.34,66.8,FALSE,2
795.0,2015-01-11,3058.22,63.2,FALSE,2
795.0,2015-02-01,3018.69,62.4,FALSE,2
795.0,2016-02-28,3108.52,64.3,FALSE,5
795.0,2016-05-29,2940.85,60.8,FALSE,5
795.0,2016-07-31,2873.78,59.4,FALSE,6
795.0,2016-09-12,2819.88,58.3,FALSE,6
12003.0,2012-04-30,18.15,61.3,TRUE,7
12003.0,2012-05-28,17.5,59.2,TRUE,7
12003.0,2012-06-20,16.37,55.3,TRUE,7
12003.0,2012-07-31,14.8,50.0,TRUE,7
12003.0,2012-08-31,12.97,43.8,TRUE,7
12003.0,2012-09-30,11.29,38.2,TRUE,7
12003.0,2012-10-30,9.74,32.9,TRUE,7
12003.0,2012-11-30,8.52,28.8,TRUE,7
12003.0,2012-12-31,7.62,25.8,TRUE,7
12003.0,2013-01-31,6.88,23.2,TRUE,7
12003.0,2013-02-28,6.31,21.3,TRUE,7
12003.0,2013-03-31,5.77,19.5,TRUE,7
12003.0,2013-07-31,10.4,35.1,TRUE,8
12003.0,2013-08-31,9.87,33.4,TRUE,8
12003.0,2013-09-30,8.94,30.2,TRUE,8
12003.0,2013-10-31,7.88,26.6,TRUE,8
12003.0,2013-11-30,7.15,24.2,TRUE,8
12003.0,2013-12-16,6.76,22.8,TRUE,8
12003.0,2014-01-31,5.83,19.7,TRUE,8
12003.0,2014-02-28,5.34,18.0,TRUE,8
12003.0,2014-05-31,11.84,40.0,TRUE,9
12003.0,2014-06-30,11.38,38.5,TRUE,9
12003.0,2014-07-21,10.91,36.9,TRUE,9
12003.0,2014-08-31,10.05,34.0,TRUE,9
12003.0,2014-09-30,9.34,31.6,TRUE,9
12003.0,2014-10-31,8.19,27.7,TRUE,9
12003.0,2014-11-30,7.38,24.9,TRUE,9
12003.0,2014-12-31,6.59,22.3,TRUE,9
12003.0,2015-01-31,5.92,20.0,TRUE,9
12003.0,2015-02-28,5.47,18.5,TRUE,9
12003.0,2015-04-30,7.78,26.3,TRUE,10
12003.0,2015-05-31,7.57,25.6,TRUE,10
12003.0,2015-07-31,12.44,42.0,TRUE,11
12003.0,2015-08-31,11.71,39.6,TRUE,11
